feature,weight_norm,perm_importance
koi_depth_num,2.5854960794585287,0.10919719061166426
koi_teq_num,2.1423269012843624,0.1326258001422475
koi_srad_err1_num,2.0982604170275745,0.035667451991465135
koi_slogg_err2_num,2.0111979588340847,0.00824479907539114
koi_steff_num,1.9453963062998973,0.022255067567567566
koi_impact_err1_num,1.8775570108547253,0.021610508534850647
koi_duration_num,1.8684913349713468,0.03772781827880509
koi_period_err1_num,1.8218319264243301,0.02842283072546229
koi_srad_err2_num,1.8163860638291693,0.007076813655761016
koi_slogg_err1_num,1.7979255526189337,0.01484597261735412
koi_tce_plnt_num_num,1.7771224534296095,0.023708659317211934
ra_num,1.7580252910925522,0.0034761735419629345
koi_model_snr_num,1.7462195081618412,0.009906205547652914
koi_period_err2_num,1.711036476905167,0.019201191322901823
koi_steff_err2_num,1.6863100347947881,0.049651049075391154
dec_num,1.5742708215964303,0.029895314722617316
koi_srad_num,1.5028314025349845,0.004142958748221881
koi_steff_err1_num,1.443199088660741,0.03747110597439544
kepid_num,1.3677292909139191,0.016019514580369775
koi_slogg_num,1.3442930435291645,0.01518936699857748
