feature,weight_norm
koi_depth_num,2.5854960794585287
koi_teq_num,2.1423269012843624
koi_srad_err1_num,2.0982604170275745
koi_slogg_err2_num,2.0111979588340847
koi_steff_num,1.9453963062998973
koi_impact_err1_num,1.8775570108547253
koi_duration_num,1.8684913349713468
koi_period_err1_num,1.8218319264243301
koi_srad_err2_num,1.8163860638291693
koi_slogg_err1_num,1.7979255526189337
koi_tce_plnt_num_num,1.7771224534296095
ra_num,1.7580252910925522
koi_model_snr_num,1.7462195081618412
koi_period_err2_num,1.711036476905167
koi_steff_err2_num,1.6863100347947881
dec_num,1.5742708215964303
koi_srad_num,1.5028314025349845
koi_steff_err1_num,1.443199088660741
kepid_num,1.3677292909139191
koi_slogg_num,1.3442930435291645
