,Mean Accuracy,Std
random_forest,0.842962962962963,0.08431040534858905
adaboost,0.8201058201058201,0.08706622112478603
extra_trees,0.8296296296296296,0.08520194386401768
stacking,0.8419047619047619,0.08454913879696348
