feature,perm_importance
koi_teq_num,0.1326258001422475
koi_depth_num,0.10919719061166426
koi_steff_err2_num,0.049651049075391154
koi_duration_num,0.03772781827880509
koi_steff_err1_num,0.03747110597439544
koi_srad_err1_num,0.035667451991465135
dec_num,0.029895314722617316
koi_period_err1_num,0.02842283072546229
koi_tce_plnt_num_num,0.023708659317211934
koi_steff_num,0.022255067567567566
koi_impact_err1_num,0.021610508534850647
koi_period_err2_num,0.019201191322901823
kepid_num,0.016019514580369775
koi_slogg_num,0.01518936699857748
koi_slogg_err1_num,0.01484597261735412
koi_model_snr_num,0.009906205547652914
koi_slogg_err2_num,0.00824479907539114
koi_srad_err2_num,0.007076813655761016
koi_srad_num,0.004142958748221881
ra_num,0.0034761735419629345
