feature,weight_norm
koi_depth_num,2.586990562070944
koi_srad_err2_num,2.435804942845778
koi_duration_num,2.3645371540981803
koi_teq_num,2.2264573452330096
koi_impact_err1_num,2.1926017070891426
koi_slogg_err2_num,2.1325171252419186
koi_srad_err1_num,2.1261829776064753
koi_period_err1_num,2.0979080973057265
koi_slogg_num,2.0775920562638523
koi_model_snr_num,2.01581095406219
koi_steff_err2_num,1.9797085768289182
koi_srad_num,1.9756538919761988
koi_steff_num,1.9475423911310035
koi_period_err2_num,1.9418918053553762
koi_steff_err1_num,1.696675757920397
koi_slogg_err1_num,1.695398386965809
ra_num,1.5740706396122361
dec_num,1.543902298079288
koi_tce_plnt_num_num,1.333800928457722
kepid_num,1.227052339506164
